Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
1.4651162790697674,1.0769230769230769,1.5135135135135136,1.5,1.1481481481481481
1.2857142857142858,1.2352941176470589,1.0769230769230769,1.3650793650793651,1.0526315789473684
1.3725490196078431,1.3725490196078431,1.2608695652173914,2.130434782608696,1.0526315789473684
,1.054054054054054,,1.3421052631578947,1.2222222222222223
,1.1875,1.4615384615384615,1.4761904761904763,1.2222222222222223
,1.5,1.2666666666666666,1.32,1.3442622950819672
1.0,1.1538461538461537,1.6428571428571428,1.8666666666666667,1.3442622950819672
1.2,1.1764705882352942,1.3846153846153846,1.44,1.2941176470588236
1.6470588235294117,1.2903225806451613,1.6428571428571428,1.290909090909091,1.2941176470588236
1.6,1.1857142857142857,1.3333333333333333,1.3714285714285714,
1.5833333333333333,,,1.4158415841584158,1.8461538461538463
,1.173913043478261,1.5384615384615385,,
,1.375,2.111111111111111,1.6,1.25
1.1111111111111112,1.1875,1.5522388059701493,1.5666666666666667,1.4193548387096775
1.5757575757575757,1.6666666666666667,1.3448275862068966,1.0869565217391304,1.1666666666666667
1.2307692307692308,1.2682926829268293,1.3953488372093024,1.162162162162162,1.55
1.5454545454545454,1.3333333333333333,1.5666666666666667,1.3166666666666667,
1.3888888888888888,1.56,1.75,1.0769230769230769,2.0
1.2,1.0888888888888888,1.064516129032258,1.813953488372093,
1.125,1.05,1.5555555555555556,1.0714285714285714,
1.2578947368421052,1.1914893617021276,1.5671641791044777,1.3214285714285714,
1.1756756756756757,1.492537313432836,1.1794871794871795,1.3125,1.4444444444444444
,1.4230769230769231,1.7894736842105263,1.101522842639594,1.1428571428571428
1.3157894736842106,1.696969696969697,1.608695652173913,,1.6666666666666667
1.95,1.206896551724138,1.380952380952381,1.0,
1.3885350318471337,1.5151515151515151,1.5,1.4473684210526316,
,1.4615384615384615,1.434782608695652,1.3717948717948718,
,1.32,1.0769230769230769,1.4634146341463414,1.2
,,1.2142857142857142,2.142857142857143,1.1875
1.2,1.1851851851851851,1.625,1.2195121951219512,1.8571428571428572
,1.2413793103448276,1.8333333333333333,1.7916666666666667,1.5
1.1666666666666667,1.9230769230769231,1.8,1.2307692307692308,1.3333333333333333
,,1.2571428571428571,1.4144144144144144,
1.4285714285714286,,1.2,1.3389830508474576,
1.5833333333333333,1.2884615384615385,1.46875,,
1.6956521739130435,1.6229508196721312,1.4705882352941178,,
,1.1333333333333333,1.4,1.2777777777777777,1.578125
,1.3,1.5,1.2741935483870968,1.578125
1.2307692307692308,1.6213592233009708,1.5,1.2156862745098038,
1.3214285714285714,1.4,1.4285714285714286,1.1666666666666667,
1.290909090909091,,1.2745098039215685,1.6,
,,1.380952380952381,1.0526315789473684,1.0
1.3333333333333333,1.375,,1.3,1.528301886792453
,,1.5454545454545454,1.6666666666666667,1.2
1.9351851851851851,1.8333333333333333,1.619047619047619,1.2,1.8709677419354838
,1.3888888888888888,1.236842105263158,,1.0857142857142856
1.2105263157894737,1.7058823529411764,1.4444444444444444,1.196078431372549,1.0857142857142856
,1.4324324324324325,1.5666666666666667,1.1764705882352942,1.0454545454545454
,1.9090909090909092,1.565217391304348,,1.0454545454545454
,1.5576923076923077,1.7741935483870968,1.375,1.375
1.2666666666666666,1.7058823529411764,1.103448275862069,1.0609756097560976,1.375
1.5833333333333333,1.6559139784946237,1.1666666666666667,1.0566037735849056,
,1.1851851851851851,1.3,1.5272727272727273,1.6923076923076923
1.0,1.6451612903225807,1.4782608695652173,1.2105263157894737,1.318840579710145
,,1.434782608695652,1.2173913043478262,1.318840579710145
,1.1333333333333333,1.3214285714285714,1.5285714285714285,1.5
,1.5,1.2142857142857142,1.5,
,1.5666666666666667,1.1219512195121952,1.5869565217391304,
,1.1818181818181819,1.2941176470588236,1.0625,1.0
,1.193798449612403,1.6153846153846154,1.1923076923076923,
,1.2352941176470589,1.3333333333333333,1.3461538461538463,
1.3181818181818181,1.2,1.0,1.6818181818181819,1.1176470588235294
,1.5319148936170213,1.4242424242424243,1.4259259259259258,1.6666666666666667
1.4,1.2727272727272727,1.2352941176470589,1.626984126984127,1.3333333333333333
1.4251968503937007,1.0,1.411764705882353,1.0588235294117647,
1.5,1.3275862068965518,1.3636363636363635,,
,1.2333333333333334,1.2105263157894737,1.8392857142857142,1.625
,1.3801652892561984,1.5,,1.625
,,1.4090909090909092,,
,1.25,1.6666666666666667,1.3709677419354838,
,1.0892857142857142,1.3928571428571428,1.1666666666666667,
,1.25,1.5238095238095237,,1.3529411764705883
,1.4444444444444444,1.4411764705882353,,
1.6666666666666667,1.4150943396226414,1.25,1.1666666666666667,2.0714285714285716
,1.6419753086419753,1.3823529411764706,1.5072463768115942,
1.1904761904761905,1.4052287581699345,1.2,1.2222222222222223,
,1.4857142857142858,1.4137931034482758,1.0,1.372340425531915
1.4304635761589404,,1.8333333333333333,1.125,1.4
1.0,1.6339869281045751,1.0625,1.3636363636363635,
1.4285714285714286,1.3043478260869565,1.6428571428571428,1.1846153846153846,1.625
1.6666666666666667,1.7058823529411764,1.2666666666666666,1.375,1.5
1.6363636363636365,1.205128205128205,1.8,1.1929824561403508,1.3035714285714286
1.0,1.5,1.6538461538461537,1.2307692307692308,1.3035714285714286
2.1363636363636362,1.7575757575757576,2.103448275862069,1.3148148148148149,1.1666666666666667
,1.1702127659574468,1.0,1.2985074626865671,1.5
,1.75,1.3333333333333333,1.3953488372093024,1.0
,1.0975609756097562,1.8611111111111112,1.2413793103448276,
,1.6271186440677967,1.2142857142857142,1.2894736842105263,
1.8620689655172413,1.15,1.1538461538461537,1.25,
1.2753623188405796,1.25,1.391304347826087,,1.0625
,1.6363636363636365,,1.425531914893617,1.0625
1.5238095238095237,1.3255813953488371,,1.7169811320754718,
1.5714285714285714,1.1025641025641026,1.8235294117647058,,
1.2222222222222223,1.4893617021276595,1.2142857142857142,1.4,
1.5476190476190477,,1.1612903225806452,1.5303030303030303,
1.7,1.6666666666666667,1.0833333333333333,1.5714285714285714,1.2727272727272727
1.4,,1.2083333333333333,,
1.162162162162162,1.4857142857142858,1.1944444444444444,,1.0930232558139534
1.5344827586206897,1.4,,1.45,1.0930232558139534
1.7307692307692308,,1.2142857142857142,2.05,1.5925925925925926
